0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
0,0,0,0
1,0,0,0
1,0,0,0
1,0,0,0
2,0,0,0
2,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
4,1,0,0
4,1,0,0
5,1,0,0
5,1,0,0
5,1,0,0
6,2,0,0
6,2,0,0
6,2,0,0
7,2,0,0
7,2,0,0
7,2,0,0
8,2,0,0
8,2,0,0
8,2,0,0
8,2,0,0
9,3,1,0
9,3,1,0
9,3,1,0
10,3,1,0
10,3,1,0
10,3,1,0
10,3,1,0
11,3,1,0
11,3,1,0
12,3,1,0
12,3,1,0
13,3,1,0
13,3,1,0
13,3,1,0
13,3,1,0
14,4,1,0
14,4,1,0
14,4,1,0
15,4,1,0
15,4,1,0
16,4,1,0
16,4,1,0
16,4,1,0
16,4,1,0
16,4,1,0
16,4,1,0
16,4,1,0
17,5,1,0
17,5,1,0
17,5,1,0
18,5,1,0
18,5,1,0
18,5,1,0
19,6,2,0
19,6,2,0
19,6,2,0
20,6,2,0
20,6,2,0
20,6,2,0
20,6,2,0
20,6,2,0
21,6,2,0
21,6,2,0
22,6,2,0
22,6,2,0
22,6,2,0
23,7,2,0
23,7,2,0
23,7,2,0
24,7,2,0
24,7,2,0
24,7,2,0
25,8,2,0
25,8,2,0
26,8,2,0
26,8,2,0
27,8,2,0
27,8,2,0
28,9,3,1
28,9,3,1
28,9,3,1
28,9,3,1
28,9,3,1
29,9,3,1
29,9,3,1
29,9,3,1
29,9,3,1
30,9,3,1
30,9,3,1
30,9,3,1
31,9,3,1
31,9,3,1
31,9,3,1
31,9,3,1
31,9,3,1
31,9,3,1
31,9,3,1
32,10,3,1
32,10,3,1
33,10,3,1
33,10,3,1
33,10,3,1
33,10,3,1
34,11,3,1
34,11,3,1
34,11,3,1
34,11,3,1
35,11,3,1
35,11,3,1
36,11,3,1
36,11,3,1
36,11,3,1
37,11,3,1
37,11,3,1
38,11,3,1
38,11,3,1
39,11,3,1
39,11,3,1
39,11,3,1
40,12,3,1
40,12,3,1
40,12,3,1
40,12,3,1
41,12,3,1
41,12,3,1
42,12,3,1
42,12,3,1
42,12,3,1
43,12,3,1
43,12,3,1
43,12,3,1
43,12,3,1
43,12,3,1
43,12,3,1
44,13,3,1
44,13,3,1
44,13,3,1
44,13,3,1
44,13,3,1
45,12,3,1
45,12,3,1
46,13,3,1
